well	sample	name	n_root	n_cells	n_singlet	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	194-555-1	194-555-1	17360	17180	5539	5134	418549	2383.5	26454	3095.9	34477.6
A2	194-529-1	194-529-1	18104	17718	5611	5223	410873	1998	34857	2631	46413.3
A3	194-529-2	194-529-2	18282	17878	5493	5123	425536	2179	37011	2776.5	48114.5
A4	194-529-3	194-529-3	17248	16947	5566	5196	396476.5	1824.5	33677	2498.9	45854.5
A5	194-555-5	194-555-5	18678	18294	5453	5070	413704	2192	26234	2876.8	34624.7
A6	211-555-1	211-555-1	27642	24034	4327	3873	507164	3175	56873	3095.6	55519
A7	211-555-2	211-555-2	30942	27625	6048	5317	494499	3144	47143	3118	47400.2
A8	211-555-3	211-555-3	24407	21202	4574	4151	502140	3090	40916	3016	41743
A9	194-555-9	194-555-9	16254	16109	5716	5411	433913	2355	24486	3023.3	31276.8
A10	223-555-1	223-555-1	29918	26480	5596	5035	490571	3270	40251	3248.6	40996.2
A11	223-555-2	223-555-2	23886	21297	4208	3803	503032	3294	41037	3278.2	41459.5
A12	223-555-3	223-555-3	30606	27541	5746	5115	498630	3098	40147	3066.7	40183.1
B1	NA-blank-1	NA-blank-1	636	191	59	48	474402.5	3162.5	34242	3210.5	37100
B2	194-373-1	194-373-1	19503	18901	5503	5261	408266	2322	1808	3074.8	2421.2
B3	194-373-2	194-373-2	18219	17731	5498	5213	391135	2105	1463	2930.2	2063.4
B4	194-373-3	194-373-3	18799	18247	5437	5169	403832	2272	1928	3070.6	2643.9
B5	NA-156-2	NA-156-2	16596	16295	5613	5221	384636	835	76	1142.7	100.7
B6	211-373-1	211-373-1	18357	17978	5461	5110	410692.5	4205.5	15738	5877.8	21847.3
B7	211-373-2	211-373-2	18288	17866	5564	5239	412076	4502	16699	6167.3	22881.1
B8	211-373-3	211-373-3	16110	15833	5568	5244	404052.5	4395	17149.5	6132	24460.6
B9	NA-373-3	NA-373-3	17667	17320	5675	5350	404013.5	980.5	886	1298.2	1191.3
B10	223-373-1	223-373-1	19022	18564	5402	4970	431710.5	5416.5	20130.5	6808.2	25997.3
B11	223-373-2	223-373-2	21250	20722	5115	4767	403723	4723	15963	6481.6	22023.3
B12	223-373-3	223-373-3	17056	16751	5478	5158	401680.5	4553	14766.5	6383.5	21107.3
C1	194-555-2	194-555-2	15992	15815	5637	5201	401678	2304	21059	3192.3	29215.2
C2	188-555-1	188-555-1	21330	20698	5449	4983	406336	2014	20310	2659.2	26891.7
C3	188-555-2	188-555-2	17810	17527	5513	5100	367650.5	1499.5	13521	2224.4	20151
